City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-0.16,92,98,4.2,SJ,1683818797
1,keflavik,64.0049,-22.5624,9.95,87,100,10.29,IS,1683818798
2,vorkuta,67.5,64.0,-3.79,94,100,1.65,RU,1683818819
3,nagqu,31.5,92.0,-5.0,81,100,1.43,CN,1683818912
4,lubango,-14.9172,13.4925,25.92,24,20,3.09,AO,1683819157
5,karabaglar,38.374,27.1352,21.35,56,75,8.23,TR,1683819157
6,khvansar,33.2205,50.315,18.16,18,94,3.13,IR,1683819157
7,saipan,15.1355,145.701,27.39,100,40,4.92,MP,1683818816
8,glace bay,46.1969,-59.957,14.07,27,0,0.0,CA,1683818887
9,aasiaat,68.7098,-52.8699,-3.1,78,100,2.34,GL,1683818794
10,crane,31.3974,-102.3501,23.15,14,0,6.43,US,1683818786
11,ushuaia,-54.8,-68.3,6.81,76,0,1.54,AR,1683818496
12,wanning,18.8003,110.3967,25.3,91,97,1.18,CN,1683819158
13,port alfred,-33.5906,26.891,18.43,82,87,2.24,ZA,1683818782
14,adamstown,-25.066,-130.1015,21.53,55,91,9.2,PN,1683818774
15,invercargill,-46.4,168.35,8.34,95,84,1.34,NZ,1683818845
16,visp,46.2937,7.8815,16.9,86,97,2.04,CH,1683819159
17,puerto natales,-51.7236,-72.4875,9.25,76,75,0.51,CL,1683818767
18,atafu village,-8.5421,-172.5159,28.83,76,13,6.52,TK,1683818781
19,margaret river,-33.95,115.0667,11.76,68,15,2.4,AU,1683818801
20,tiksi,71.6872,128.8694,-11.31,79,84,12.02,RU,1683818583
21,smithers,54.7804,-127.1743,7.18,65,40,1.54,CA,1683819023
22,mili,6.0815,171.735,28.22,79,100,6.86,MH,1683819161
23,okahao,-17.885,15.0667,28.75,20,78,2.09,NA,1683819161
24,bethel,41.3712,-73.414,23.64,38,0,3.09,US,1683818520
25,port-aux-francais,-49.35,70.2167,7.58,92,100,17.92,TF,1683819162
26,vuktyl,63.8567,57.3094,2.07,81,76,2.93,RU,1683819162
27,verkhnevilyuysk,63.4453,120.3167,-1.99,75,67,1.59,RU,1683819162
28,ilulissat,69.2167,-51.1,-1.99,69,75,7.2,GL,1683818569
29,papao,-17.75,-149.55,25.82,92,100,15.14,PF,1683819161
30,kodiak,57.79,-152.4072,4.73,93,100,4.12,US,1683818815
31,kupang,-10.1667,123.5833,25.26,78,85,6.54,ID,1683819162
32,meulaboh,4.1363,96.1285,27.16,85,100,3.31,ID,1683818782
33,shimoda,34.6667,138.95,11.72,81,60,5.15,JP,1683819163
34,cidreira,-30.1811,-50.2056,18.01,63,63,6.64,BR,1683819163
35,waitangi,-43.9535,-176.5597,10.96,57,89,10.39,NZ,1683818767
36,orchard homes,46.8633,-114.0484,12.44,72,0,0.89,US,1683819164
37,kapa'a,22.0752,-159.319,23.18,89,75,4.63,US,1683819164
38,chissamba,-12.1667,17.3333,21.91,45,0,1.14,AO,1683819164
39,deschutes river woods,43.9915,-121.3584,11.71,69,80,0.89,US,1683819165
40,guiuan,11.0333,125.7247,28.17,80,100,4.99,PH,1683819165
41,petropavlivka,48.4564,36.4367,12.75,64,68,3.52,UA,1683819165
42,san antonio de pale,-1.4014,5.6325,27.9,79,100,5.98,GQ,1683818800
43,thompson,55.7435,-97.8558,13.09,67,40,2.06,CA,1683818785
44,jiaojiang,28.6803,121.4428,17.22,63,100,0.72,CN,1683819166
45,inarajan village,13.2736,144.7484,27.54,95,40,2.51,GU,1683819166
46,blackmans bay,-43.0167,147.3167,8.62,86,99,2.73,AU,1683818775
47,edinburgh of the seven seas,-37.0676,-12.3116,16.37,75,78,10.45,SH,1683819166
48,selfoss,63.9331,-20.9971,9.47,86,100,5.84,IS,1683819167
49,arraial do cabo,-22.9661,-42.0278,24.92,61,75,2.57,BR,1683818880
50,hinatuan,8.3722,126.3342,25.97,88,100,1.01,PH,1683819167
51,sault ste. marie,46.5168,-84.3333,19.16,59,40,2.06,CA,1683819081
52,enewetak,11.3474,162.3373,27.46,84,100,6.83,MH,1683818774
53,polyarnyy,69.1989,33.4478,4.16,99,100,2.27,RU,1683818802
54,ribeira grande,38.5167,-28.7,20.22,68,20,6.26,PT,1683818795
55,vorgashor,67.5833,63.95,-3.9,94,100,1.69,RU,1683818793
56,port saint john's,-31.6229,29.5448,22.38,79,7,5.42,ZA,1683818678
57,talnakh,69.4865,88.3972,-14.33,84,19,6.26,RU,1683818862
58,portland,45.5234,-122.6762,15.02,79,20,2.06,US,1683818333
59,wailua homesteads,22.0669,-159.378,22.44,89,75,4.63,US,1683818778
60,isparta,38.0,31.0,14.67,71,100,1.56,TR,1683819169
61,flying fish cove,-10.4217,105.6791,26.82,94,100,6.69,CX,1683818839
62,hawaiian paradise park,19.5933,-154.9731,20.73,88,75,2.57,US,1683818498
63,bredasdorp,-34.5322,20.0403,13.7,69,100,4.65,ZA,1683818801
64,ancud,-41.8697,-73.8203,13.63,92,100,3.32,CL,1683818718
65,valparaiso,-33.0393,-71.6273,26.13,31,0,4.12,CL,1683818945
66,cold lake,54.4502,-110.2017,13.97,58,20,1.54,CA,1683818822
67,arrifes,37.7667,-25.7,17.14,82,75,8.23,PT,1683819170
68,cerro gordo,43.0833,-93.2669,21.9,94,100,4.12,US,1683819170
69,labasa,-16.4167,179.3833,24.3,93,23,2.46,FJ,1683819171
70,praia da vitoria,38.7333,-27.0667,19.86,82,75,6.37,PT,1683818811
71,punta arenas,-53.15,-70.9167,8.06,71,75,3.09,CL,1683818794
72,eastham,41.8301,-69.9739,21.71,55,0,4.12,US,1683819171
73,port lincoln,-34.7333,135.8667,15.63,72,100,5.52,AU,1683818774
74,mamuju,-2.6748,118.8885,26.14,86,100,2.22,ID,1683819172
75,kapuskasing,49.4169,-82.4331,19.05,48,100,4.12,CA,1683819011
76,iqaluit,63.7506,-68.5145,-4.15,73,20,5.14,CA,1683818773
77,grytviken,-54.2811,-36.5092,-1.79,76,41,4.6,GS,1683818778
78,saint joseph,39.7686,-94.8466,20.87,88,100,5.14,US,1683819024
79,buala,-8.145,159.5921,27.26,85,100,2.97,SB,1683819173
80,bel ombre,-4.6167,55.4167,27.91,74,20,4.12,SC,1683819173
81,hermanus,-34.4187,19.2345,12.67,69,100,4.84,ZA,1683818818
82,argo,37.6333,22.7333,18.21,74,100,2.36,GR,1683818770
83,grand baie,-20.0182,57.5802,26.26,70,81,1.34,MU,1683819174
84,pervomayskoye,43.919,46.7102,12.33,71,93,3.66,RU,1683819174
85,albany,42.6001,-73.9662,22.02,39,0,0.89,US,1683818562
86,san julian,21.0167,-102.1667,23.51,16,1,4.54,MX,1683819174
87,aykhal,66.0,111.5,-0.83,94,100,11.39,RU,1683818768
88,newman,37.3138,-121.0208,14.38,77,0,1.79,US,1683818799
89,yellowknife,62.456,-114.3525,13.29,41,40,5.66,CA,1683818514
90,bandipura,34.4167,74.65,11.3,48,100,4.6,IN,1683819175
91,dakhla,23.6848,-15.958,23.01,68,83,12.86,EH,1683819175
92,haiku-pauwela,20.9219,-156.3051,21.13,88,0,3.09,US,1683819176
93,anadyr,64.75,177.4833,-3.72,86,0,3.0,RU,1683818560
94,dudinka,69.4058,86.1778,-14.1,89,19,5.79,RU,1683818817
95,papatowai,-46.5619,169.4708,10.66,89,89,6.77,NZ,1683818766
96,tazovsky,67.4667,78.7,-14.03,96,66,3.25,RU,1683818796
97,mbanza-ngungu,-5.25,14.8667,26.25,72,8,1.3,CD,1683819177
98,udachny,66.4167,112.4,0.25,80,100,8.89,RU,1683818859
99,fonte boa,-2.4959,-66.2662,22.72,99,100,0.22,BR,1683819177
100,new norfolk,-42.7826,147.0587,9.28,72,96,1.7,AU,1683818795
101,harstad,68.799,16.5293,7.86,99,100,6.26,NO,1683819178
